date,violet,blue,green,lightGreen,yellow,lightOrange,orange,lightRed,red,uv
2010-07-19,0.28723029102197034,0.38188546814591573,0.5077337430607907,0.6750546311545426,0.897515206092251,1.193286451185611,1.5865274982725928,2.109358989431425,2.804486749293443,3.7286900742687443
2010-10-27,0.4022764163104666,0.5348444170710154,0.7110994800432486,0.9454384385032066,1.2570025236764593,1.6712408552274325,2.221989171519137,2.954233594101798,3.927785175727379,5.222165375637575
2011-02-04,0.56340267784366,0.7490689600232008,0.9959205536931115,1.324120744821242,1.7604775203848548,2.340633293377496,3.111976239758815,4.137511050630654,5.501005269698828,7.31383157820008
2011-05-15,0.7890658376463916,1.0490981843711336,1.3948227738938432,1.8544790178424861,2.465612472054298,3.27814162568544,4.3584353339590525,5.794733946655162,7.704356939951603,10.243285784059605
2011-08-23,1.105115258812056,1.4692999699476537,1.9534997679869375,2.5972649707880793,3.4531794879270796,4.591155969820874,6.104146399837229,8.11573458091417,10.790230684769035,14.346092404788388
2011-12-01,1.5477539097397044,2.057807776097012,2.735947114536758,3.637563576389715,4.836302829821881,6.430080071605939,8.549077918015028,11.366379957075473,15.112108530016082,20.092221541549193
2012-03-10,2.167685357715203,2.8820342543913577,3.831792937070913,5.0945394178485515,6.773417119937746,9.005559819584386,11.973292981675716,15.9190264344567,21.165054844040455,28.13988332738947
2012-06-18,3.0359217834850276,4.036393262756128,5.366564665878986,7.135086806035252,9.486415779790088,12.612612403107706,16.769030087203955,22.29517256839389,29.642425189144912,39.410924871677324
2012-09-26,4.251918315836058,5.653114825681967,7.516068009425385,9.992947262572685,13.286068575661183,17.664420071374074,23.48563344235448,31.225195956616165,41.5152891201444,55.196426409102855
2013-01-04,5.954965461524153,7.917391877352387,10.526525224131445,13.995484246679755,18.607619810764565,24.739659515825583,32.892479488693446,43.73201685423498,58.1436646877441,77.30459252746392
2013-04-14,8.340144615636325,11.088593823495085,14.742779489930001,19.601182128988192,26.06064488152975,34.64878838285967,46.06710777334072,61.24827209399348,81.4323063856591,108.26787918378142
2013-07-23,11.68067433122012,15.529976902390066,20.647796158834964,27.45216486131331,36.498876188791655,48.526881933529644,64.51865142395461,85.7804214016391,114.04889180790886,151.63308258548096
2013-10-31,16.359207078523166,21.75029462056262,28.917985682957823,38.447750274112025,51.11799685313639,67.9636541448487,90.36070599541115,120.13858422896472,159.72959995767437,212.36761916566283
2014-02-08,22.911661488814705,30.462074673689234,40.5006853771138,53.84746553171336,71.5926043520128,95.1855569671183,126.55343854502195,168.25843455537347,223.7070847265297,297.4285353901417
2014-05-19,32.08861099797413,42.663237883138876,56.722675431111966,75.41532400509291,100.26803304968243,133.3108169232723,177.24267015335167,235.65202620557682,313.30986723878215,416.55942658243185
2014-08-27,44.941260863250264,59.75140847006727,79.44215951173514,105.62189025300586,140.4290085917171,186.70662309502964,248.23477326468543,330.0391900206254,438.8018065193713,583.4065505754961
2014-12-05,62.941862086402594,83.68400973072492,111.26161909539269,147.92727934000033,196.6759081060383,261.48938182272883,347.66178259701945,462.23182844371706,614.5578085414028,817.0819852687822
2015-03-15,88.15235547036693,117.20248382295888,155.82592366336186,207.17750762192736,275.4517262298494,366.225341514696,486.9129070392505,647.3724020867628,860.7104492915033,1144.3528873513737
2015-06-23,123.46056372318019,164.1463196908399,218.23984481765797,290.15959636342257,385.7801100991812,512.9118430456202,681.9391457709405,906.6684749828199,1205.4561299576628,1602.7076283644253
2015-10-01,172.9109870463907,229.89286053653876,305.6527999085045,406.37901444120615,540.2990040583335,718.3515964470691,955.0804503469706,1269.8220079784912,1688.2849307204879,2244.6500292080004
2016-01-09,242.16809432681674,321.97327009958997,428.0778066441755,569.1485149826464,756.708306478983,1006.0774051422228,1337.6247313149076,1778.4316720365518,2364.5041378635556,3143.7135909593535
2016-04-18,339.16517921529146,450.93521572039833,599.5384586568265,797.1130904787826,1059.7973655203498,1409.0478118848182,1873.3918395830083,2490.757911132612,3311.5736071801152,4402.884642765285
2016-07-27,475.0131065444918,631.5510871877841,839.6753062869717,1116.3857276022395,1484.2845603084031,1973.4224484414574,2623.7530620162906,3488.3965852707697,4637.978669676046,6166.399265265966
2016-11-04,665.2730445710677,884.5101509556589,1175.9956510007482,1563.538609114281,2078.794237130614,2763.849549436739,3674.661106654637,4885.62564901992,6495.656957082404,8636.265308734259
2017-02-12,931.7389725359146,1238.7884733558817,1647.0244638825,2189.792400375467,2911.4265524863763,3870.8713068276793,5146.495851398244,6842.4955130233775,9097.402620663663,12095.40207734665
2017-05-23,1304.9341470042739,1734.9680838160639,2306.7173610029886,3066.883496697627,4077.5582398298334,5421.295336815795,7207.853671320517,9583.162568981788,12741.241569448872,16940.04829433886
2017-08-31,1827.6074933123314,2429.8855830535567,3230.6411351107827,4295.281315572894,5710.767865672258,7592.720294560044,10094.85989055127,13421.565954809836,17844.56987341835,23725.15062992301
2017-12-09,2559.6304283088443,3403.1426870659875,4524.629813915192,6015.696911791952,7998.137046095486,10633.879523207166,14138.216569980821,18797.388793379327,24991.965832501177,33227.93197706788
2018-03-18,3584.855037801517,4766.224479580955,6336.907782940179,8425.201209368626,11201.680354169777,14893.133070515269,19801.083912692568,26326.4232086746,35002.1525093368,46536.92112201491
2018-06-26,5020.719202241138,6675.269854565539,8875.068657769425,11799.799168605705,15688.358680756613,20858.37178914919,27732.134543050386,36871.10835343005,49021.78117951839,65176.64201946954
2018-10-04,7031.698922813892,9348.956983072912,12429.854809024091,16526.04572394088,21972.114032378413,29212.9044731165,38839.85794438611,51639.32146933005,68656.7784473126,91282.24563452076
